bnfcode	bnf
946	04070101
947	04060100
948	04060400
949	04060700
950	04070103
951	13040300
952	04070102
953	13040100
954	04090101
955	04070404
956	13040200
957	04070405
958	04090102
959	13040400
960	80012800
961	08010531
962	10010303
963	10010306
964	02060103
965	10010305
966	10010301
967	10010302
968	04070406
969	04060600
970	05010907
971	04060500
972	17040000
973	95270000
974	03010104
975	01010105
976	08020408
977	01060700
978	04070104
979	08020410
980	10030204
981	09080108
982	05010908
983	08020411
984	02090400
985	04080117
986	08010528
987	95280000
988	14041300
989	05010709
990	09080105
991	95310000
992	03030300
993	08010527
994	95300000
995	04080118
996	95320000
997	80013000
998	95290000
999	12020400
1000	80020111
1001	95330000
1002	95340000
1003	08010533
1004	08010526
1005	04105100
1006	04066000
1007	11065100
1008	11065000
1009	03010000
1010	12010151
1011	07040150
1012	10030250
1013	13020100
1014	07040250
1015	13020103
1016	71580200
1017	12020101
1018	07030550
1019	09040251
1020	71100100
1021	07030152
1022	62060300
1023	60020200
1024	59030200
1025	13070100
1026	10010451
1027	10020202
1028	62030100
1029	09060750
1030	04105000
1031	04065500
1032	07030150
1033	04010201
1034	05020500
1035	03040103
1036	05020100
1037	13040500
1038	10030251
1039	62060600
1040	62060100
1041	62061200
1042	62010100
1043	59010400
1044	06010151
1045	04065400
1046	40120000
1047	10010450
1048	59040000
1049	57020600
1050	57020500
1051	66200000
1052	57050100
1053	57040100
1054	62020100
1055	75130100
1056	75030100
1057	71540300
1058	73010000
1059	57020200
1060	57082500
1061	57020100
1062	72212900
1063	72110100
1064	72213300
1065	61040000
1066	62040000
1067	60020100
1068	60100000
1069	04065600
1070	72045000
1071	72071400
1072	75211900
1073	75212800
1074	71191000
1075	72072000
1076	72171100
1077	72040000
1078	74130200
1079	57082900
1080	72070100
1081	72044500
1082	72160600
1083	72100100
1084	72041000
1085	72190100
1086	71520100
1087	07020250
1088	09040254
1089	61030000
1090	74090100
1091	04065900
1092	72110300
1093	58040501
1094	66070000
1095	57020300
1096	57080400
1097	58040100
1098	13000000
1099	60050000
1100	75070200
1101	74060400
1102	11065300
1103	57070101
1104	57070700
1105	07020150
1106	13080150
1107	11080251
1108	12020251
1109	73020100
1110	07020251
1111	71190600
1112	04105200
1113	12030551
1114	11065200
1115	71060600
1116	71491100
1117	72071500
1118	72070300
1119	71060500
1120	71380400
1121	12020250
1122	07220000
1123	72214100
1124	64120000
1125	72150200
1126	72170500
1127	71430300
1128	71092700
1129	71410100
1130	08015100
1131	72213100
1132	72190500
1133	57020400
1134	57020801
1135	58040200
1136	72044600
1137	72090300
1138	06050151
1139	71092400
1140	71580100
1141	71541200
1142	71190400
1143	62061300
1144	75090100
1145	09045200
1146	71010100
1147	71430100
1148	71120100
1149	72130100
1150	57040300
1151	72171000
1152	71060400
1153	72210100
1154	05020300
1155	72212300
1156	09040252
1157	62060400
1158	71560000
1159	65050900
1160	50030000
1161	75180200
1162	12030550
1163	06050150
1164	65010000
1165	09020100
1166	14043000
1167	72214400
1168	72215000
1169	71060300
1170	71310900
1171	72210800
1172	72190600
1173	72070500
1174	71110100
1175	07020000
1176	72071100
1177	71580300
1178	72214300
1179	71590800
1180	73020200
1181	71560100
1182	72090200
1183	72041200
1184	72211200
1185	72043100
1186	71092600
1187	73030200
1188	60060000
1189	74080100
1190	65050100
1191	12010000
1192	64070200
1193	73020000
1194	71470200
1195	74111100
1196	64060000
1197	73010100
1198	71140100
1199	71331700
1200	72210300
1201	60130000
1202	75211100
1203	75211300
1204	71090400
1205	72090400
1206	73030000
1207	72071300
1208	62060800
1209	54040000
1210	71540500
1211	71190900
1212	12010152
1213	72212500
1214	75220100
1215	71321500
1216	71060100
1217	71540900
1218	71640000
1219	72010100
1220	71321700
1221	71300100
1222	71540700
1223	71420000
1224	07040251
1225	72070400
1226	72213600
1227	72212800
1228	51000000
1229	71500200
1230	71020200
1231	72045200
1232	72070900
1233	58040000
1234	57030101
1235	71420200
1236	75010100
1237	71541000
1238	71390100
1239	71090500
1240	75191600
1241	57050200
1242	61050000
1243	60030000
1244	04070500
1245	57082400
1246	72214200
1247	75191500
1248	75180500
1249	72211300
1250	72210900
1251	57040400
1252	72070800
1253	72213800
1254	62050100
1255	72214800
1256	73030100
1257	09040250
1258	07270800
1259	72211400
1260	72210700
1261	71440100
1262	72190200
1263	57020900
1264	57082700
1265	72042700
1266	72070600
1267	60090000
1268	52010000
1269	72043600
1270	57070500
1271	60140000
1272	59010100
1273	75061000
1274	72160500
1275	74110600
1276	72050300
1277	71530100
1278	72150400
1279	71190300
1280	11065400
1281	74020100
1282	02065000
1283	07040151
1284	67000000
1285	04070400
1286	60140600
1287	02085000
1288	59020000
1289	62060200
1290	71540000
1291	54020000
1292	72215400
1293	72213900
1294	04065800
1295	72071800
1296	57010302
1297	64090000
1298	66020000
1299	75010400
1300	75191100
1301	71420100
1302	71092900
1303	72170800
1304	72041300
1305	71060200
1306	73030300
1307	59010200
1308	11080250
1309	58110100
1310	62061400
1311	66120000
1312	57060200
1313	01020400
1314	71094100
1315	58064200
1316	62060500
1317	58110500
1318	66030000
1319	62061500
1320	09080158
1321	71190700
1322	62061100
1323	62060700
1324	05030150
1325	57083100
1326	00802400
1327	75060100
1328	75010200
1329	72150300
1330	71092000
1331	72180100
1332	74110200
1333	72200100
1334	71090300
1335	09080151
1336	71540600
1337	72210000
1338	71090100
1339	04030000
1340	71590300
1341	71540200
1342	71541100
1343	71313500
1344	72042300
1345	72040100
1346	71323900
1347	11050100
1348	71313400
1349	71331600
1350	75181800
1351	71111000
1352	74110500
1353	72100200
1354	74060500
1355	02050504
1356	71020300
1357	06060000
1358	07030151
1359	71092100
1360	75212200
1361	75180600
1362	75190500
1363	71590000
1364	72040200
1365	75181300
1366	75210600
1367	72150100
1368	71323400
1369	63020000
1370	71323500
1371	09080100
1372	74135300
1373	71540800
1374	75212300
1375	75100100
1376	72213500
1377	71510100
1378	10010452
1379	75181400
1380	72214900
1381	58064100
1382	75170200
1383	71000000
1384	75200200
1385	66130000
1386	57050300
1387	71470100
1388	71380300
1389	55030000
1390	71020100
1391	71620100
1392	61070000
1393	72190400
1394	72043800
1395	71090000
1396	68000000
1397	72040900
1398	72211700
1399	75213800
1400	72214000
1401	71200100
1402	75181500
1403	72211500
1404	75030200
1405	55040000
1406	71190500
1407	74060300
1408	59010700
1409	71191100
1410	75212400
1411	74060100
1412	71430200
1413	71160100
1414	71314100
1415	72213700
1416	75180800
1417	74110900
1418	72160200
1419	72161100
1420	75210900
1421	12020151
1422	54050000
1423	75220200
1424	09040153
1425	13080300
1426	71590700
1427	05020200
1428	07040350
1429	71093200
1430	09040255
1431	72170200
1432	72214500
1433	72161300
1434	71311200
1435	72212000
1436	71250300
1437	75020100
1438	72161700
1439	72160700
1440	01010000
1441	72043900
1442	13100551
1443	09040151
1444	71311300
1445	72070200
1446	05030301
1447	52020000
1448	13500200
1449	72150500
1450	71320900
1451	09040152
1452	09080150
1453	65050200
1454	13100550
1455	08020403
1456	75213500
1457	72210400
1458	06010200
1459	09080159
1460	72071000
1461	75180400
1462	75050100
1463	55010000
1464	58110300
1465	72214700
1466	74010100
1467	71390200
1468	72170700
1469	72071200
1470	71590600
1471	60110000
1472	72215100
1473	71460600
1474	75213200
1475	02070000
1476	72200200
1477	11080000
1478	72214600
1479	75151600
1480	75150300
1481	75150500
1482	75150100
1483	75151900
1484	72210500
1485	72210600
1486	72042100
1487	74160000
1488	72041600
1489	15025000
1490	64080000
1491	72213400
1492	72041900
1493	72220000
1494	06070500
1495	72200300
1496	72160300
1497	72042200
1498	72212600
1499	13110800
1500	74100100
1501	71312400
1502	75213000
1503	58110200
1504	74110400
1505	72040700
1506	75191000
1507	09080153
1508	62060801
1509	71313900
1510	55050200
1511	18000000
1512	74100400
1513	74100200
1514	09010350
1515	72043000
1516	75200300
1517	71312600
1518	75212700
1519	75040200
1520	75151000
1521	75070100
1522	71590900
1523	71324200
1524	75181600
1525	75180700
1526	71093100
1527	72110000
1528	71150100
1529	72160100
1530	75190000
1531	71611000
1532	63010100
1533	12500000
1534	75211600
1535	07040000
1536	75180300
1537	72050400
1538	72213000
1539	74070500
1540	71321900
1541	13500100
1542	75190900
1543	74132300
1544	72040800
1545	74134200
1546	71250400
1547	71093400
1548	75090400
1549	71040100
1550	72161500
1551	54100000
1552	72090100
1553	75110500
1554	75211800
1555	64000000
1556	75151300
1557	72044800
1558	74111000
1559	74111600
1560	71093000
1561	72200600
1562	75180000
1563	71570100
1564	71230100
1565	72210200
1566	72215300
1567	71460500
1568	75060500
1569	66100000
1570	71092800
1571	72050500
1572	75210200
1573	72040500
1574	09040253
1575	71093500
1576	71540400
1577	74133900
1578	75151800
1579	61020000
1580	72200500
1581	72161400
1582	75213400
1583	75000000
1584	75212900
1585	13020000
1586	71460800
1587	03095000
1588	72170600
1589	71090800
1590	72043700
1591	75150700
1592	74060200
1593	75191400
1594	75061200
1595	71200000
1596	08010551
1597	71460000
1598	71460700
1599	71094200
1600	72044000
1601	66040000
1602	71020500
1603	75160100
1604	02040100
1605	75181100
1606	75150600
1607	06070250
1608	71460300
1609	75150400
1610	05030152
1611	04030201
1612	71490800
1613	75151200
1614	61013400
1615	54060000
1616	10030252
1617	08015300
1618	60120100
1619	71461400
1620	72044700
1621	71090200
1622	72200400
1623	74070300
1624	72050100
1625	72041800
1626	75010500
1627	75181200
1628	71480100
1629	75160800
1630	71322200
1631	71332300
1632	71250000
1633	71110800
1634	71491700
1635	71091200
1636	71610100
1637	72212700
1638	60040000
1639	72040600
1640	71300300
1641	66010100
1642	75060700
1643	72211900
1644	71500100
1645	71461300
1646	72040300
1647	75190600
1648	72080200
1649	71030100
1650	09080155
1651	72041100
1652	72030100
1653	04065300
1654	04010000
1655	75152000
1656	75110100
1657	65050600
1658	71323700
1659	75040400
1660	74133700
1661	71461000
1662	02100100
1663	74140100
1664	75181000
1665	72190300
1666	71310100
1667	71190200
1668	52000000
1669	72213901
1670	71280100
1671	75210400
1672	71313300
1673	71550100
1674	10010000
1675	71450100
1676	72212200
1677	71321300
1678	72080300
1679	74132800
1680	15010000
1681	72160400
1682	73010200
1683	74131400
1684	75130000
1685	74135600
1686	71600100
1687	72215200
1688	72120100
1689	74135400
1690	72140100
1691	71490700
1692	71220100
1693	71324300
1694	75210700
1695	71314200
1696	72040400
1697	65050800
1698	71313000
1699	71311100
1700	05030151
1701	59030300
1702	72160900
1703	75190700
1704	05050000
1705	71490500
1706	71312200
1707	71323000
1708	71314000
1709	75190800
1710	75200100
1711	71280000
1712	72030200
1713	71650000
1714	12010150
1715	75180900
1716	11050200
1717	72170400
1718	71313700
1719	71321000
1720	74040000
1721	72170900
1722	71270200
1723	71360300
1724	09080160
1725	71322400
1726	54000000
1727	72212400
1728	71332000
1729	75181700
1730	71331500
1731	71331000
1732	54010000
1733	63020100
1734	54080000
1735	62060000
1736	55050000
1737	65050500
1738	71094300
1739	05030302
1740	01050301
1741	55050300
1742	71090900
1743	75211200
1744	11080252
1745	08010552
1746	75040300
1747	71320100
1748	75211500
1749	06070000
1750	71330300
1751	71460100
1752	71340200
1753	71190000
1754	71493100
1755	71322600
1756	71091400
1757	71324100
1758	75152100
1759	71092300
1760	72070000
1761	71380100
1762	75150800
1763	71311500
1764	75213100
1765	75211400
1766	72044200
1767	74132700
1768	74130700
1769	74132100
1770	72170300
1771	71480200
1772	04090000
1773	75070000
1774	65040000
1775	72020100
1776	71313100
1777	71270100
1778	71491600
1779	06050152
1780	71110900
1781	74130400
1782	72000000
1783	71250500
1784	74120100
1785	75040100
1786	71130100
1787	72044900
1788	71324000
1789	06050153
1790	75060000
1791	71050200
1792	71312300
1793	08010600
1794	75220000
1795	71590100
1796	71110700
1797	74060700
1798	71314500
1799	71323200
1800	71323100
1801	71250100
1802	71322900
1803	72080100
1804	71090600
1805	71324400
1806	71340300
1807	74133200
1808	72042900
1809	09050100
1810	52030000
1811	75213700
1812	04065200
1813	74134700
1814	71330100
1815	71312900
1816	71322300
1817	71590200
1818	71312100
1819	71591100
1820	75110200
1821	74070100
1822	71324500
1823	71491400
1824	75140100
1825	71461100
1826	71322100
1827	71322500
1828	71190800
1829	75190100
1830	74111400
1831	71314400
1832	72161900
1833	71321100
1834	72043400
1835	72160800
1836	71460900
1837	75160700
1838	12500300
1839	71491200
1840	74133000
1841	74132400
1842	71460200
1843	74135000
1844	75210800
1845	71332600
1846	71332200
1847	75151700
1848	71240100
1849	71312700
1850	71180000
1851	71311000
1852	74133600
1853	64070000
1854	71321600
1855	71190100
1856	71332500
1857	74110300
1858	74060000
1859	71323300
1860	75151100
1861	72211000
1862	71660000
1863	74070400
1864	04065100
1865	64100000
1866	71094000
1867	74135700
1868	71491900
1869	09060000
1870	75210300
1871	75150200
1872	59010000
1873	58110400
1874	62020200
1875	57020304
1876	04120000
1877	75030000
1878	72130000
1879	71280200
1880	75150000
1881	74140000
1882	71311700
1883	75170000
1884	71331100
1885	71493600
1886	71180100
1887	72044400
1888	71324700
1889	74150000
1890	71490900
1891	71110600
1892	01030800
1893	74030100
1894	71091500
1895	72044300
1896	59030400
1897	71250600
1898	71492100
1899	05010100
1900	72211600
1901	71494300
1902	02080000
1903	74111200
1904	71331300
1905	71321200
1906	75160300
1907	75110000
1908	75160000
1909	75212000
1910	75080100
1911	72042400
1912	75150900
1913	01090150
1914	72060100
1915	71350300
1916	75110400
1917	71250700
1918	62061000
1919	74070600
1920	75010300
1921	71491000
1922	71400100
1923	71070100
1924	71311900
1925	71060700
1926	71490000
1927	06050156
1928	71250800
1929	71670000
1930	06010651
1931	04065700
1932	74110100
1933	71491500
1934	71491300
1935	09000000
1936	71491800
1937	71494000
1938	15010550
1939	71493500
1940	74000000
1941	71492900
1942	71250200
1943	71312500
1944	71170100
1945	75090000
1946	71480300
1947	72150600
1948	71300400
1949	71332100
1950	71320600
1951	74134900
1952	54030000
1953	71492500
1954	72190700
1955	75210000
1956	72045100
1957	63000000
1958	71093600
1959	74150100
1960	71314700
1961	74130100
1962	71300200
1963	08015050
1964	02010900
1965	72213200
1966	74040100
1967	71331400
1968	75050000
1969	71370100
1970	71350200
1971	75190200
1972	74111500
1973	62010200
1974	71420401
1975	75120100
1976	71050300
1977	74133500
1978	12500200
1979	74020200
1980	08010554
1981	50010000
1982	71332800
1983	71330200
1984	71313200
1985	72161000
1986	71420301
1987	75151400
1988	75211700
1989	12030000
1990	75110300
1991	74135200
1992	71680300
1993	15010250
1994	71251100
1995	71093700
1996	74130900
1997	71330400
1998	71493300
1999	71020400
2000	09090000
2001	71322700
2002	06010100
2003	71680200
2004	71251000
2005	71493000
2006	72200000
2007	71250900
2008	74135500
2009	09010100
2010	71311600
2011	71326400
2012	74130000
2013	71680100
2014	71093800
2015	75160600
2016	54140000
2017	74131500
2018	71325800
2019	18010000
2020	74133800
2021	71093900
2022	75130200
2023	71720000
2024	72072100
2025	71331800
2026	71700000
2027	71325700
2028	13050350
2029	71493200
2030	71251200
2031	64020000
2032	74090000
2033	51010000
2034	71360200
2035	71251400
2036	71260800
2037	71314300
2038	71080100
2039	71690200
2040	05030153
2041	13050102
2042	72215500
2043	54070000
2044	64110000
2045	66080000
2046	72110200
2047	65050000
2048	09080152
2049	71330700
2050	74060600
2051	74132000
2052	71461200
2053	71326200
2054	74134400
2055	14050204
2056	65050700
2057	60010000
2058	71321800
2059	71270600
2060	71320200
2061	12020150
2062	71460400
2063	71324600
2064	71332400
2065	62000000
2066	74010000
2067	71311800
2068	71630000
2069	74030200
2070	08010550
2071	75151500
2072	71313600
2073	72071600
2074	75120000
2075	71323600
2076	06020000
2077	71500000
2078	04020102
2079	75060400
2080	72090000
2081	02110100
2082	71091000
2083	04020101
2084	71270800
2085	07010400
2086	09010401
2087	71270300
2088	10020102
2089	72050200
2090	75191300
2091	03120000
2092	71092500
2093	71314900
2094	74133300
2095	71310700
2096	71690300
2097	75211000
2098	71050100
2099	72162000
2100	71680400
2101	11030000
2102	71740000
2103	71314600
2104	71690100
2105	71730000
2106	06040201
2107	71494400
2108	74110000
2109	71091100
2110	72215600
2111	71326300
2112	72044100
2113	72070700
2114	71493800
2115	71251300
2116	57010000
2117	06040100
2118	74080000
2119	71315100
2120	03130000
2121	72160000
2122	71680500
2123	71492000
2124	71251600
2125	72215700
2126	06050101
2127	71493400
2128	71270500
2129	05040101
2130	01060800
2131	71326500
2132	71091700
2133	71251700
2134	71315300
2135	71271100
2136	71326700
2137	71251800
2138	74131800
